#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606220000   108   23.2  264.7    1.1    0.0    0.0   74.8  999.8 1009.6
202606220100   108   22.9  284.9    0.9    0.0    0.0   75.1  999.5 1009.3
202606220200   108   22.5   17.5    1.1    0.0    0.0   77.8  999.4 1009.2
202606220300   108   22.2   28.8    1.4    0.0    0.0   76.9  999.0 1008.9
202606220400   108   21.8   32.2    1.5    0.0    0.0   77.9  998.9 1008.8
202606220500   108   21.5   34.6    1.8    0.0    0.0   80.3  998.9 1008.8
202606220600   108   21.3   42.7    1.5    0.0    0.0   79.2  999.1 1009.0
202606220700   108   21.7   36.5    2.4    0.0    0.0   79.0  999.6 1009.5
202606220800   108   22.9   61.5    1.5    0.0    0.0   74.6  999.7 1009.5
202606220900   108   24.1   49.4    1.9    0.0    0.0   67.5  999.8 1009.6
202606221000   108   25.1   41.4    2.0    0.0    0.0   65.5  999.5 1009.2
202606221100   108   26.4   74.8    1.3    0.0    0.0   60.7  999.2 1008.9
202606221200   108   27.2  167.7    2.5    0.0    0.0   57.7  998.9 1008.6
202606221300   108   27.4  146.5    3.1    0.0    0.0   55.2  998.7 1008.4
202606221400   108   27.9  237.2    1.9    0.0    0.0   56.3  998.5 1008.1
202606221500   108   27.4  289.5    2.6    0.0    0.0   58.5  998.1 1007.8
202606221600   108   27.0  261.9    2.9    0.0    0.0   60.5  997.7 1007.4
202606221700   108   26.4  269.5    3.4    0.0    0.0   56.7  997.8 1007.5
202606221800   108   26.0  257.6    2.7    0.0    0.0   58.8  998.0 1007.7
202606221900   108   25.8  265.9    2.1    0.0    0.0   60.5  998.4 1008.1
202606222000   108   25.0  280.0    1.9    0.0    0.0   65.1  999.1 1008.8
202606222100   108   24.2  280.9    1.6    0.0    0.0   68.2  999.8 1009.6
202606222200   108   23.8  280.0    1.5    0.0    0.0   70.1 1000.6 1010.4
202606222300   108   23.2   10.6    0.9    0.0    0.0   73.3 1000.8 1010.6
202606230000   108   22.9   36.8    2.3    0.0    0.0   73.7 1000.6 1010.4
